id,hypothesis,premise,relation
"ANLI4982","Zu einem bestimmten Zeitpunkt in der Geschichte wurden Drohungen ausgesprochen hinsichtlich der Ungewissheit, ob bestimmte Sanktionen umgesetzt werden. Diese Sanktionen würden eine Entität äußerst verärgern.","Nordkorea erklärt die Absicht, Reaktoren wieder in Betrieb zu nehmen, wirft IAEA-Inspektoren hinaus und entfernt Inspektionskameras, kündigt den sofortigen Rücktritt vom Atomwaffensperrvertrag an und droht mit Krieg, falls die UN oder die Vereinigten Staaten Sanktionen verhängen.","Entailment"
"ANLI5573","Ein Programm kann auf der entsprechenden Fermi Linux LTS-Version ausgeführt werden, wenn es nicht für RedHat Enterprise zertifiziert ist.","Das Ziel von FermiLab ist es sicherzustellen, dass ein Programm, das auf RedHat Enterprise läuft und zertifiziert ist, auch auf der entsprechenden Fermi Linux LTS-Version läuft. Sie haben Fermi Linux LTS für die Nutzung durch Fermilab entwickelt, und das ist ihr ultimatives Ziel.","Neutral"
"ANLI5614","Wenn Sie den Bereich nie nutzen, reicht es aus, ein paar Mal pro Woche zu kommen.","Wie man Korkböden reinigt<br>Regelmäßig fegen. Verwenden Sie einen Besen mit weichen Borsten, einen Staubmopp oder einen Staubsauger mit einer weichen Bürstendüse. Je nachdem, wie stark Sie den Bereich nutzen, wiederholen Sie dies 2-7 Mal pro Woche oder immer, wenn Sie bemerken, dass es staubig wird.","Contradiction"
"ANLI6507","Das Haus wurde in den 1940er Jahren fertiggestellt.","Di 10.10. @ 14:30 Uhr Oberlin ist der stolze Standort eines ikonischen Hauses des legendären Architekten Frank Lloyd Wright, des Weltzheimer/Johnson Hauses, das 1949 fertiggestellt wurde. Wenn Sie mehr über das Design und die Entstehung erfahren möchten, kommen Sie zum Tuesday Tea im Allen Memorial Art Museum in Oberlin. Dort wird Jill Greenwood, die Nord Family Curator of Education des Museums, Geschichten über die Familie Weltzheimer erzählen, die das Haus in Auftrag gegeben hat. Und ja, nach der Präsentation wird es Tee und Kekse geben. Es ist kostenlos. oberlin.edu/amam/ Beitragskategorien:","Entailment"
"ANLI7123","Die "sie", auf die in diesem Kontext Bezug genommen wird, haben sich vollständig auf die Seite der Anklage geschlagen.","Sie weigern sich, bei einer Zeugenaussage auszusagen, und mein Vorschlag an sie war, dass sie, wenn wir in der Lage wären, etwas als Ergebnis dieser Konferenz zu klären, dann an einer Zeugenaussage teilnehmen würden, da ich glaube, dass die Beklagten das Recht hätten, sie zu befragen oder sie anderweitig zu prüfen, bevor sie auf die Zeugenbank treten. Und basierend darauf würden sie dann vor Gericht aussagen.","Neutral"
"ANLI7231","Der Artikel besagt, dass man den Großteil des Benzins im Auto aufbrauchen soll.","So entleeren Sie den Benzintank Ihres Autos<br>Fahren Sie das Auto, bis der Tank fast leer ist, wenn möglich. Es sei denn, Sie haben den falschen Kraftstoff im Tank, starten Sie das Auto und fahren Sie, bis der Tank fast leer ist. Parken Sie das Auto und lassen Sie es abkühlen, bevor Sie mit dem Entleeren beginnen.","Entailment"
"ANLI7349","Die beiden Männer sind für 20 Jahre im Gefängnis.","Die Anklagen folgten, nachdem der Rechnungshof im vergangenen Monat enthüllt hatte, dass einige Details aus dem 1MDB-Bericht entfernt worden waren. Kandasamy leitete 1MDB von 2015 bis zu seiner Entlassung im Juni. Die beiden Männer wurden gegen Kaution freigelassen und könnten, wenn sie für schuldig befunden werden, bis zu 20 Jahre Gefängnis erhalten.","Neutral"
"ANLI7550","Es ist hilfreich zu wissen, ob dein Gegner zu viel getrunken hat.","Wie man in einer unbewaffneten Kampfsituation gewinnt<br>Zunächst ist es unerlässlich, die eigene Situation zu beurteilen. Blind in einen Kampf zu gehen, wird niemals gut enden. Beurteile, warum dein Gegner einen Streit anfängt und ob er allein, betrunken oder bewaffnet ist.","Entailment"
"ANLI7652","Michael Jackson ist tot.","Neverland Valley Ranch, im Besitz von Michael Jackson, soll am 19. März 2008 versteigert werden, es sei denn, Jackson zahlt über 24 Millionen US-Dollar. Die Financial Title Company, der Treuhänder seines Hauses und Freizeitparks im Santa Barbara County, Kalifornien, hat die Zwangsvollstreckung des Eigentums eingeleitet. Sie informierten Jackson am Montag über die Zwangsvollstreckung und den Verkauf. Jackson hatte erst kürzlich eine überfällige Grundsteuerrechnung in Höhe von 600.000 US-Dollar bezahlt.","Contradiction"
"ANLI7728","Es wurde kein Schwerpunkt auf frühes Lernen gelegt.","Ich denke, dass wir mehr Wert auf frühkindliche Bildung und Vorschule legen müssen. Jetzt, hier ist, wie das mit all dem anderen, worüber wir gesprochen haben, zusammenhängt. Wenn Sie – wenn Sie den Überschuss für eine riesige Steuererleichterung verschwenden, die hauptsächlich den Wohlhabenden zugutekommt, dann können Sie Bildung nicht zur obersten Priorität machen.","Neutral"
"ANLI8029","Steigen Sie an der Haltestelle National Folk Park aus und gehen Sie von dort zum Haupteingang.","Wie man zum Gyeongbokgung-Palast gelangt<br>Nehmen Sie den Jongno-Bus 11, wenn Sie den Tag in Jongno verbringen. Der Jongno-Bus 11 macht eine perfekte Sightseeing-Runde durch das historische Viertel mit Haltestellen entlang der Ostseite des Palastgeländes. Steigen Sie an der Haltestelle National Folk Museum aus und gehen Sie von dort zum Haupteingang.","Contradiction"
"ANLI8421","Die Schießerei dauerte bis Dienstagmorgen.","DETROIT (WXYZ) - Die Polizei ermittelt, nachdem ein Mann getötet und ein weiterer bei einem Schusswechsel an einer Bushaltestelle am Sonntagabend verletzt wurde, teilte die Polizei mit. Es geschah gegen 19:30 Uhr in der Nähe von Livernois und Warren auf der Westseite von Detroit. Die Polizei sagte, dass die beiden Männer in ihren 20ern sind. Das überlebende Opfer nahm einen Bus ins Krankenhaus, wo es in stabilem Zustand aufgeführt wird, fügte die Polizei hinzu. Die Polizei hat derzeit keine Informationen über einen Verdächtigen. Wenn Sie Informationen zu diesem Vorfall haben, rufen Sie die Polizei von Detroit an. BLEIBEN SIE BEI WXYZ.COM FÜR AKTUALISIERUNGEN ZU DIESER ENTWICKELNDEN GESCHICHTE.","Contradiction"
"ANLI8762","Die Reform sollte die Rechtschreibregeln harmonisieren.","Die ursprüngliche Rechtschreibreform von 1996, die darauf abzielte, die Rechtschreibregeln in den deutschsprachigen Ländern zu harmonisieren, stellte sich als großes Ärgernis, wenn nicht sogar als völliges Versagen heraus.","Entailment"
"ANLI8928","Wie dein Schlauch aussieht, wird dir sagen, wie er beschädigt wurde.","So überprüfen Sie die Ansaugschläuche<br>Überprüfen Sie jeden Schlauch auf Beulen und Schwellungen. Wenn sich ein Schlauch beim Berühren weich oder schwammig anfühlt, kann dies auf Schäden durch das Öl Ihres Autos hindeuten. [Unterpunkte] Ein geschwollener Schlauch, der rissig und hart ist, wird oft durch Hitzeschäden verursacht.","Entailment"
"ANLI8969","Menschen schlafen gerne in einem kalten Zimmer.","Wie man verhindert, dass man beim Schlafen zu heiß wird<br>Benutzen Sie Klimaanlage. Der einfachste Weg, Ihr Zimmer kühl zu halten, während Sie schlafen, ist die Benutzung Ihrer Klimaanlage, falls Sie eine haben. Zentrale Klimaanlage oder ein tragbares Fenstergerät erfüllen beide ihren Zweck.","Neutral"
"ANLI9246","Wenn Sie früher mittwochs um 12 Uhr SportsCenter geschaut haben, besteht die Möglichkeit, dass Sie wissen, wer Chris McKendry ist.","Chris McKendry (geboren als Christine McKendry am 18. Februar 1968) ist Journalistin bei ESPN, eine Position, die sie seit 1996 innehat. Sie war Co-Moderatorin des Live-ESPN "SportsCenter"-Blocks von 11 bis 1 Uhr ET an Wochentagen, zusammen mit Jay Crawford. Seit dem 1. April 2016 ist sie als Vollzeit-Moderatorin vor Ort für die Tennisberichterstattung von ESPN bei den Australian Open, den French Open, Wimbledon und den US Open tätig.","Entailment"
"ANLI9553","Ausgewählt zu werden ist fair.","Und ich war überrascht über das Ausmaß davon. Und ich denke, wir haben jetzt so viele Beispiele im ganzen Land, dass wir wirklich Wege finden müssen, dies zu beenden. Stell dir vor, wie es für jemanden ist, unfair und ungerecht herausgepickt zu werden und die ungerechte Kraft des Gesetzes nur wegen Rasse oder Ethnie zu spüren.","Neutral"
"ANLI9979","Der Agent war Teil des Militärs.","Wir müssen unsere Bürgerrechtsgesetze durchsetzen. Wir müssen uns mit Dingen wie Racial Profiling auseinandersetzen. Und wir müssen unser Militär stark halten. Wir haben das stärkste Militär, und ich werde alles Notwendige tun, wenn ich Präsident bin, um sicherzustellen, dass das so bleibt.","Neutral"
"ANLI10192","Jeder kann Afrikanische Veilchen züchten, wenn er nur den Willen hat.","Wie man afrikanische Veilchen drinnen züchtet<br>Kaufen Sie vorgezüchtete afrikanische Veilchen in einer Gärtnerei, einem Gewächshaus oder einem Einzelhandelsgeschäft. Da viele Zimmerpflanzenliebhaber afrikanische Veilchen als Teil ihrer Sammlung anbauen, sind sie normalerweise leicht zu finden. Es ist am besten, die Veilchen aus einer vorgezüchteten Pflanze zu ziehen, da das Anbauen von afrikanischen Veilchen aus Samen äußerst schwierig sein kann.","Neutral"
"ANLI10204","Geh nur schlafen, wenn es kühl ist.","Wie man aufhört, beim Schlafen so heiß zu werden<br>Benutzen Sie Klimaanlage. Der einfachste Weg, Ihr Zimmer kühl zu halten, während Sie schlafen, ist die Nutzung Ihrer Klimaanlage, falls Sie eine haben. Zentrale Klimaanlage oder ein tragbares Fenstergerät funktionieren beide.","Neutral"
"ANLI10304","Dauerhafter Frieden wird erreicht werden.","Das Nobelkomitee erklärte in einer Stellungnahme, dass "dauerhafter Frieden nicht erreicht werden kann, solange große Bevölkerungsgruppen Wege finden, um aus der Armut auszubrechen."","Neutral"
"ANLI10925","Die Sommerzeit wird Ihre Praxis beeinflussen, berücksichtigen Sie das.","Wie man mitten in der Nacht aufwacht<br>Üben Sie, indem Sie einen Monat lang zur gleichen Zeit aufwachen. Nerven in Ihrem Gehirn steuern die innere Uhr Ihres Körpers, bekannt als Ihr zirkadianer Rhythmus. Dieser Rhythmus wird durch das Befolgen einer vorhersehbaren Routine festgelegt, weshalb Sie am Wochenende zur gleichen Zeit aufwachen können wie während der Woche, wenn alle Faktoren gleich sind.","Neutral"
"ANLI11446","Erwachsene können ADHS haben.","Wie man feststellt, ob man ADHS im Erwachsenenalter hat<br>Seien Sie sich bewusst, dass Sie leicht abgelenkt werden. Schwierigkeiten beim Konzentrieren, sehr schnell gelangweilt zu sein und eine kurze Aufmerksamkeitsspanne sind die Aspekte, aus denen der Begriff 'Aufmerksamkeitsdefizit' bei ADHS stammt. Sie können feststellen, ob Sie ADHS im Erwachsenenalter haben, wenn Sie bemerken, wie oft Sie abgelenkt sind.","Entailment"
"ANLI13644","Gesetz C-3 sieht eine Ausnahme vor, die es Richtern erlaubt, Proben zu entnehmen.","Gesetz C-3 sieht eine gefährliche und unnötige Ausnahme vor, die es Richtern erlaubt, keine Durchsuchungsbefehle für die Entnahme einer Probe auszustellen, wenn sie der Meinung sind, dass die Auswirkungen auf die Privatsphäre und Sicherheit des Einzelnen in einem groben Missverhältnis zum öffentlichen Interesse an dem Schutz der Gesellschaft stehen würden.","Contradiction"
"ANLI13860","Wenn Sie mit dem Rauchen von Tabakprodukten aufhören, werden Sie keinen Lungenkrebs bekommen.","Wie man Lungenkrebs vorbeugt<br>Hören Sie auf, Tabakprodukte zu rauchen. Zigaretten- und Tabakrauch enthält schädliche Substanzen, die als Karzinogene bekannt sind und die Zellen, die Ihre Lungen auskleiden, schädigen können. Im Laufe der Zeit kann Rauchen zur Entwicklung und Vermehrung abnormaler Zellen führen und Ihr Risiko für Lungenkrebs erhöhen.","Neutral"
"ANLI14011","Die Mitarbeiter waren unwillig, eidesstattliche Erklärungen abzugeben.","GM hat Verdachtsgründe für Industriespionage vorgelegt, indem es eidesstattliche Erklärungen seiner Mitarbeiter präsentierte. Ziel ist es festzustellen, ob VWs Projekt aus GM-Daten kopiert wurde - entscheidend, um Industriespionage nachzuweisen.","Contradiction"
"ANLI14103","Der Dalai Lama ist ein friedliebender Führer.","Tenzin Gyatso, der 14. Dalai Lama, hat geschworen, von seiner Position zurückzutreten, wenn die Dinge in Tibet "außer Kontrolle geraten", wo gewalttätige Demonstrationen gegen China zwischen 13 und 100 Menschen das Leben gekostet haben. Bei einer Pressekonferenz in Dharamsala, Indien, sagte der Dalai Lama, dass er gegen den Einsatz von Gewalt gegen Chinas Herrschaft sei. "Gewalt ist fast Selbstmord", sagte er. "Selbst wenn 1.000 Tibeter ihr Leben opfern, wird es nicht helfen." Er erkennt jedoch an, dass viele radikale Tibeter seine Politik der Gewaltlosigkeit kritisiert haben, und sagt, dass seine einzige Option darin besteht, "vollständig zurückzutreten", wenn das Blutvergießen anhält.","Entailment"
"ANLI14744","Jongno hat eine Flotte von Bussen.","Wie man zum Gyeongbokgung-Palast gelangt<br>Nehmen Sie den Jongno-Bus 11, wenn Sie den Tag in Jongno verbringen. Der Jongno-Bus 11 macht eine perfekte Sightseeing-Runde durch das historische Viertel mit Haltestellen entlang der Ostseite des Palastgeländes. Steigen Sie an der Haltestelle National Folk Museum aus und gehen Sie von dort zum Haupteingang.","Entailment"
"ANLI15070","Diese Person studiert das Urheberrecht.","Warum sollte es nicht? Wenn das Gleichheitsargument unter dem Notwendigen und Angemessenen Klausel die Verlängerung des Urheberrechts für diejenigen rechtfertigt, deren Urheberrecht morgen abläuft, wenn es nicht verlängert wird, um sie mit denen, die Urheberrechte für neue Werke erhalten, gleichzustellen, warum gilt das dann nicht für das Urheberrecht des Inhabers, dessen Urheberrecht gestern abgelaufen ist?","Entailment"
"ANLI15489","Nehmen Sie kein Vitamin E.","Wenn Sie rheumatische Herzkrankheit, Bluthochdruck oder Diabetes haben oder Digitalispräparate einnehmen, kann Vitamin E schädlich sein.","Neutral"
"ANLI15683","Europäer ändern Urheberrechtsdetails","Das muss etwas bedeuten, und wenn es bedeutet, dass wir in unserer Fähigkeit, uns mit den Europäern zu einigen, eingeschränkt sind, während sie den Begriff ständig im Lichte ihrer eigenen Vorstellung davon, worum es beim Urheberrecht geht, erweitern, dann ist das die Bedeutung einer verfassungsmäßigen Einschränkung.","Entailment"
"ANLI16734","Mixbin Electronics stellt Elektronik her.","(CNN) — Eine beliebte Art von Handyhülle wird wegen des Risikos chemischer Verbrennungen zurückgerufen. Das in China ansässige Unternehmen Mixbin Electronics verkauft iPhone-Hüllen weltweit, sowohl online als auch in Geschäften. Fast 275.000 der glitzernden Hüllen der Marke werden zurückgerufen. Die Hüllen enthalten eine nicht identifizierte Flüssigkeit. Der Hersteller gab an, dass die Flüssigkeit auslaufen kann, wenn die Hüllen Risse bekommen oder brechen. Bisher gibt es 24 Berichte über chemische Verbrennungen oder Hautreizungen durch die Flüssigkeit im Inneren der Hülle. Kunden werden aufgefordert, die Hüllen sofort nicht mehr zu verwenden und eine Rückerstattung vom Unternehmen zu beantragen.","Neutral"
"ANLI17724","Die Medizin hat seit ihren Anfängen in Amerika einen langen Weg zurückgelegt.","Drittens ist einer der Gründe, warum die Kosten im Gesundheitswesen immer noch hoch sind, dass hier keine Informationstechnologie eingesetzt wird. Es ist, als würde man die Zeit der Kutsche und des Pferdes mit anderen Branchen hier in Amerika vergleichen.","Contradiction"
"ANLI18530","Die Aussage nennt Personen, deren Namen mit einem M und einem F beginnen.","Seine Abende waren so voller Arbeit, dass er sich jetzt selten den anderen im Regenbogen-Tal anschloss. Er schien in das Land der Erwachsenen abzudriften. „Was ist heute Abend mit euch los?“ fragte er. „Ihr habt keinen Spaß.“ „Nicht viel,“ stimmte Faith traurig zu. „Es wäre auch nicht viel Spaß für dich, wenn DU wüsstest, dass du deinen Vater in Verlegenheit bringst und die Leute über dich reden.“ „Wer redet jetzt über dich?“ „Alle – sagt Mary Vance.“ Und Faith erzählte dem mitfühlenden Jem von ihren Sorgen.","Entailment"
"ANLI19007","Das Urheberrechtsklausel hat ein zz.","Aber ich dachte, du hättest gesagt, dass wenn du das Argument der Copyright-Klausel akzeptierst, du in der Tat eine Möglichkeit hast, den Anspruch der Regierung auf ihr wichtiges Interesse und ihr wichtiges Ziel abzuwerten, wenn du zur Analyse der intermediären Prüfung nach dem Ersten Zusatzartikel kommst.","NoneSense"
"ANLI19092","Dein Herz steuert die Uhr deines Körpers.","Wie man mitten in der Nacht aufwacht<br>Üben Sie, indem Sie einen Monat lang zur gleichen Zeit aufwachen. Nerven in Ihrem Gehirn steuern die Uhr Ihres Körpers, bekannt als Ihr zirkadianer Rhythmus. Dieser Rhythmus wird durch das Befolgen einer vorhersehbaren Routine festgelegt, weshalb Sie am Wochenende zur gleichen Zeit aufwachen können wie während der Woche, wenn alle Faktoren gleich sind.","Contradiction"
"ANLI19250","Es gibt einen weiteren Absatz.","In diesem Abschnitt sind die Minister und der für das andere Gesetz gemäß Absatz (6)(a) zuständige Minister dafür verantwortlich, festzustellen, ob die in diesem Absatz genannten Anforderungen durch das andere Gesetz oder die auf Grundlage dieses Gesetzes erlassenen Vorschriften erfüllt sind, und (a) wenn die Minister und dieser andere Minister feststellen, dass das","Entailment"
"ANLI19859","Wenn Rauchen abnormale Zellen verursacht, dann sind abnormale Zellen die alleinige Ursache von Krebs.","Wie man Lungenkrebs vorbeugt<br>Hören Sie auf, Tabakprodukte zu rauchen. Zigaretten- und Tabakrauch enthält schädliche Substanzen, die als Karzinogene bekannt sind und die Zellen, die Ihre Lungen auskleiden, schädigen können. Im Laufe der Zeit kann Rauchen zur Entwicklung und Vermehrung abnormaler Zellen führen und Ihr Risiko für Lungenkrebs erhöhen.","Neutral"
"ANLI20592","Nordkorea hat neue Inspektionskameras installiert.","Nordkorea erklärt die Absicht, Reaktoren wieder in Betrieb zu nehmen, wirft IAEA-Inspektoren hinaus und entfernt Inspektionskameras, kündigt den sofortigen Austritt aus dem Atomwaffensperrvertrag an und droht mit Krieg, falls die UN oder die Vereinigten Staaten Sanktionen verhängen.","Contradiction"
"ANLI21078","Du kannst gewinnen, wenn der Gegner allein ist.","Wie man in einer unbewaffneten Kampfsituation gewinnt<br>Zunächst ist es unerlässlich, dass Sie Ihre Situation einschätzen. In einen Kampf blind hineinzugehen, wird niemals gut enden. Beurteilen Sie, warum Ihr Gegner einen Streit anfängt und ob er allein, betrunken oder bewaffnet ist.","Neutral"
"ANLI22549","Ein Auto zu verkaufen ist wie Wasser in der Wüste zu verkaufen.","Wie man Gebrauchtwagen preislich bewertet<br>Kennt den Markt. Lässt sich Ihr Auto leicht verkaufen? Ist es gefragt? Müssen Sie den Preis senken, falls die Nachfrage gering ist? Ist es der richtige Zeitpunkt, um Ihr Auto zu verkaufen? Sammeln Sie Informationen über Ihr Auto. Der nächste Schritt besteht darin, Ihr Auto gut zu kennen.","Neutral"
"ANLI23159","Buckingham sprach normalerweise bei Besprechungen.","Oh ja. Es gab nicht viele Treffen, bei denen Bill Buckingham nicht sprach. Und tatsächlich begann dieses Treffen – ich glaube, der Beginn des Treffens war eine Entschuldigung, die er im Voraus vorbereitet hatte, um sich bei den Mitgliedern der Gemeinschaft zu entschuldigen, falls er etwas gesagt hatte, das sie beleidigt hatte.","Entailment"
"ANLI23892","Wischen ist für diese Art von Fliesen notwendig.","So reinigen Sie keramische Fliesen<br>Fegen oder saugen Sie zweimal pro Woche. Die Verwendung eines trockenen Mops oder Staubsaugers ist ideal, obwohl Sie auch mit einem Besen fegen können, wenn es schnell gehen muss. Wählen Sie einen weichen und flauschigen Staubmopp, vorzugsweise mit einem abnehmbaren Ende, das maschinenwaschbar ist.","Contradiction"
"ANLI23917","Ärzte werden den Impfverlauf eines Patienten verfolgen.","So finden Sie Impfunterlagen<br>Rufen Sie Ihren Gesundheitsdienstleister an. Wenn Sie noch den Namen und die Kontaktdaten des Arztes oder der Klinik haben, die Ihnen die Impfungen verabreicht hat, haben diese in der Regel die Unterlagen in ihren Akten. In den meisten Fällen ist dies der schnellste Weg, um Ihre Impfunterlagen zu erhalten.","Entailment"
"ANLI24337","Die Frage ist schwer zu beantworten.","Nein. Das ist eine zu amorphe Frage. Das Problem hier, ich wiederhole, ist die Wahrhaftigkeit der Artikel selbst, hat der Reporter die Aussage so gehört, wie sie berichtet wurde. Wenn sie aus dem Kontext gerissen wurde, werden wir das in dieser Prüfung nicht vertiefen. Die Person, die zitiert wurde und glaubt, dass die Aussage aus dem Kontext gerissen wurde oder schlichtweg, dass er oder sie es nicht gesagt hat und es ungenau ist, wird die Gelegenheit haben, dies während der Hauptverhandlung der Beklagten oder zu einem anderen Zeitpunkt während des Prozesses zu äußern.","Entailment"
"ANLI24459","Das Urheberrecht gibt es seit über 200 Jahren.","Ich stimme zu, und dieses Gericht hat – nur um über das Urteil des Kongresses des 105. Kongresses im Jahr 1998 zu sprechen. So lautet das Argument, dass das ursprüngliche Urheberrechtsgesetz von 1790 implizit den Menschen sagte, sie würden ein Urheberrecht erhalten, wenn sie ihre bestehenden Rechte austauschen. Das ergibt einfach keinen Sinn. Es gibt keine entsprechende Formulierung, und es ist ein relativ spät entdecktes Argument, weil es seine volle –","Entailment"
"ANLI24763","Dieser wichtige Brief betrifft die Kommentare von Beth Eveland.",""Dieser Brief bezieht sich auf die Kommentare von Beth Eveland aus York Township in der Juni-Ausgabe der York Sunday News. Ich versichere Ihnen, dass der Schulrat des Dover Area School Districts nicht gegen seine Missionserklärung verstößt. Tatsächlich steht in der Erklärung, dass wir unsere Schüler ausbilden, damit sie beitragende Mitglieder der Gesellschaft werden können."","Entailment"
"ANLI24839","Haloumi-Käse schmeckt am besten im Freien.","Wie man Halloumi-Käse macht<br>Erhitzen Sie die Milch auf 34ºC/93,2ºF. Fügen Sie das Lab hinzu und rühren Sie gut um. Decken Sie die Milch mit Frischhaltefolie oder dem Deckel des Topfes ab, falls verfügbar. Stellen Sie sie an einen warmen Ort und wickeln Sie sie in Handtücher, um sie warm zu halten.","Neutral"
"Fever10765","Belgien ist überwiegend flämisch.","Belgien. Trotz der Reformen sind die Spannungen zwischen den Gruppen geblieben, wenn nicht sogar gestiegen; es gibt einen erheblichen Separatismus, insbesondere unter den Flamen; es existieren umstrittene Sprachenregelungen wie die Gemeinden mit Sprachfacilitäten; und die Bildung einer Koalitionsregierung dauerte 18 Monate nach der Bundeswahl im Juni 2010, ein Weltrekord. Die Flamen oder Fläminger (Vlamingen) sind eine germanische ethnische Gruppe, die in Flandern, im modernen Belgien, ansässig ist und Niederländisch spricht, insbesondere alle Dialekte, die in historischem Flandern gesprochen werden, die gemeinsam als Flämisch-Niederländisch bekannt sind. Die flämischen Menschen machen die Mehrheit der belgischen Bevölkerung aus (etwa 60 %).","Entailment"
