id,hypothesis,premise,relation
"ANLI4982","كوريا الشمالية تعلن نيتها إعادة تشغيل المفاعلات، وتطرد مفتشي الوكالة الدولية للطاقة الذرية وتزيل كاميرات التفتيش، وتعلن الانسحاب الفوري من معاهدة عدم انتشار الأسلحة النووية وتوجه تهديدات بالحرب إذا فرضت الأمم المتحدة أو الولايات المتحدة عقوبات.","تمت تهديدات في وقت معين من التاريخ بشأن عدم اليقين من تنفيذ عقوبات معينة. ستجعل هذه العقوبات كيانًا ما غاضبًا للغاية.","NoneSense"
"ANLI5573","هدف FermiLab هو ضمان أنه إذا تم تشغيل برنامج ما وتم اعتماده على RedHat Enterprise، فإنه سيعمل على إصدار Fermi Linux LTS المقابل. لقد قاموا ببناء Fermi Linux LTS لاستخدام Fermilab، وهذا هو هدفهم النهائي.","يمكن للبرنامج أن يعمل على إصدار Fermi Linux LTS المقابل إذا لم يكن معتمدًا من RedHat Enterprise.","NoneSense"
"ANLI5614","كيفية تنظيف أرضيات الفلين<br>قم بالكنس بانتظام. استخدم مكنسة ذات شعيرات ناعمة، أو ممسحة غبار، أو مكنسة كهربائية مزودة بملحق فرشاة ناعمة. اعتمادًا على مدى استخدامك للمنطقة، كرر ذلك 2-7 مرات في الأسبوع، أو كلما لاحظت أنها أصبحت متربة.","إذا لم تستخدم المنطقة أبدًا، فسيكون كافيًا مرتين في الأسبوع.","NoneSense"
"ANLI6507","الثلاثاء 10/10 الساعة 2:30 مساءً، أوبيرلين هي الموقع الفخور لمنزل أيقوني من تصميم المعماري الأسطوري فرانك لويد رايت، منزل ويلتزايمر/جونستون، الذي اكتمل في عام 1949. إذا كنت ترغب في معرفة المزيد عن تصميمه وكيف تم إنشاؤه، تعال إلى شاي الثلاثاء في متحف آلن التذكاري للفنون في أوبيرلين. هناك، ستشارك جيل غرينوود، أمينة التعليم في المتحف من عائلة نورد، قصصًا عن عائلة ويلتزايمر التي كلفت ببناء المنزل. ونعم، سيكون هناك شاي وبسكويت بعد العرض. الدخول مجاني. oberlin.edu/amam/ فئات المنشورات:","اكتمل بناء المنزل في الأربعينيات.","NoneSense"
"ANLI7123","يرفضون الشهادة في الإيداع، وكان اقتراحي لهم هو أنه إذا كنا قادرين على حل شيء نتيجة لهذه المؤتمر، فإنهم سيحضرون بعد ذلك الإيداع، لأنني أعتقد أن المدعى عليهم سيكون لهم الحق في استجوابهم أو فحصهم قبل أن يتقدموا للشهادة. وبناءً على ذلك، سيشهدون في المحكمة.",""هم" المشار إليهم في هذا السياق قد انحازوا تمامًا للادعاء.","NoneSense"
"ANLI7231","كيفية تصريف خزان الوقود في سيارتك<br>قم بتشغيل السيارة حتى تقترب من أن تكون فارغة، إذا كان ذلك ممكنًا. ما لم يكن لديك وقود خاطئ في الخزان، قم بتشغيل السيارة واستنزاف الوقود نحو الفارغ من خلال القيادة. اركن السيارة واتركها تبرد قبل البدء في تصريفها.","يقول المقال أن تستخدم معظم البنزين في السيارة.","NoneSense"
"ANLI7349","وجاءت التهم بعد أن كشف المدقق العام الشهر الماضي أن بعض التفاصيل قد أزيلت من تقرير 1MDB. قاد كانداسامي 1MDB من عام 2015 حتى تم إنهاء خدماته في يونيو. تم الإفراج عن الرجلين بكفالة، ويواجهان عقوبة تصل إلى 20 عامًا في السجن إذا ثبتت إدانتهما.","الرجلان في السجن لمدة 20 عامًا.","NoneSense"
"ANLI7550","كيف تربح في موقف قتال غير مسلح<br>أولاً وقبل كل شيء، من الضروري أن تقيم وضعك. الدخول في قتال دون معرفة سيسفر دائمًا عن نتائج سيئة. قم بتقييم سبب قيام خصمك بالقتال وإذا كان بمفرده، أو مخمورًا، أو مسلحًا.","من المفيد أن تعرف إذا كان خصمك قد شرب كثيرًا.","NoneSense"
"ANLI7652","رانش وادي نيفرلاند، المملوك لمايكل جاكسون، سيتم بيعه في مزاد علني في 19 مارس 2008، ما لم يدفع جاكسون أكثر من 24 مليون دولار أمريكي. شركة العنوان المالية، الوصي على منزله وحديقة الملاهي في مقاطعة سانتا باربرا، كاليفورنيا، قد قامت برهن العقار. وقد أبلغت جاكسون عن الرهن والبيع يوم الاثنين. كان جاكسون قد دفع مؤخرًا فاتورة ضريبة العقار المتأخرة بقيمة 600,000 دولار.","مايكل جاكسون ميت","NoneSense"
"ANLI7728","أعتقد أنه يجب علينا أن نضع المزيد من التركيز على التعلم المبكر ومرحلة ما قبل المدرسة. الآن، إليك كيف يرتبط ذلك بكل ما تحدثنا عنه. إذا كنت - إذا أهدرت الفائض على تخفيض ضريبي ضخم يذهب في معظمه إلى أولئك في القمة، فلا يمكنك جعل التعليم هو الأولوية القصوى.","لم يتم التركيز على التعلم المبكر.","NoneSense"
"ANLI8029","كيفية الذهاب إلى قصر غيونغبوكغونغ<br>خذ حافلة جونغنو رقم 11 إذا كنت تقضي اليوم في جونغنو. تقوم حافلة جونغنو رقم 11 بجولة سياحية مثالية عبر المنطقة التاريخية مع توقفات على الجانب الشرقي من أراضي القصر. انزل في محطة المتحف الشعبي الوطني وامشِ من هناك إلى المدخل الرئيسي.","انزل عند محطة حديقة الفولكلور الوطنية وامشِ من هناك إلى المدخل الرئيسي.","NoneSense"
"ANLI8421","ديترويت (WXYZ) - تحقق الشرطة بعد مقتل رجل وإصابة آخر في إطلاق نار عند محطة حافلات ليلة الأحد، حسبما أفادت الشرطة. حدث ذلك حوالي الساعة 7:30 مساءً بالقرب من ليفرنويس ووارن في الجانب الغربي من ديترويت. قالت الشرطة إن الرجلين في العشرينات من عمرهما. الضحية الناجية أخذ حافلة إلى المستشفى، حيث تم إدراجه في حالة مستقرة، أضافت الشرطة. ليس لدى الشرطة معلومات عن مشتبه به في الوقت الحالي. إذا كان لديك أي معلومات حول هذا الإطلاق النار، اتصل بشرطة ديترويت. تابعوا WXYZ.COM للحصول على تحديثات حول هذه القصة المتطورة.","استمر إطلاق النار حتى صباح يوم الثلاثاء","NoneSense"
"ANLI8762","أثبتت الإصلاحات الإملائية الأصلية لعام 1996، التي كانت تهدف إلى توحيد قواعد الإملاء عبر الدول الناطقة بالألمانية، أنها مصدر إحراج كبير إن لم تكن فشلاً صريحاً.","كانت الإصلاحات تهدف إلى توحيد قواعد الإملاء.","NoneSense"
"ANLI8928","كيفية فحص خراطيم فراغ المحرك<br>تحقق من كل خرطوم بحثًا عن الانتفاخ والتورم. إذا كان الخرطوم يشعر بالنعومة أو الإسفنجية عند لمسه، فقد يشير ذلك إلى تلف ناتج عن زيت سيارتك. [خطوات فرعية] غالبًا ما يكون الخرطوم المتورم الذي يحتوي على تشققات وصلب نتيجة لتلف حراري.","شكل خرطومك سيخبرك كيف تم تلفه.","NoneSense"
"ANLI8969","كيفية التوقف عن الشعور بالحرارة أثناء النوم<br>استخدم مكيف الهواء. أسهل طريقة للحفاظ على برودة غرفتك أثناء النوم هي استخدام مكيف الهواء إذا كان لديك واحد. سواء كان تكييف مركزي أو وحدة نافذة محمولة، كلاهما سيؤدي الغرض.","يحب الناس النوم في غرفة باردة","NoneSense"
"ANLI9246","كريس مكندري (ولدت كريستين مكندري في 18 فبراير 1968) هي صحفية في ESPN، وهي الوظيفة التي شغلتها منذ عام 1996. كانت مذيعة مشاركة في فترة البث المباشر من الساعة 11 مساءً حتى 1 صباحًا بتوقيت شرق الولايات المتحدة لبرامج "سبورتس سنتر" على ESPN، إلى جانب جاي كروفورد. اعتبارًا من 1 أبريل 2016، تعمل كمقدمة بدوام كامل لتغطية ESPN للتنس في بطولة أستراليا المفتوحة، وبطولة فرنسا المفتوحة، وويمبلدون، وبطولة الولايات المتحدة المفتوحة.","إذا كنت معتادًا على مشاهدة SportsCenter في الساعة 12 ظهرًا يوم الأربعاء، فهناك احتمال أنك تعرف من هو كريس مكيندري.","NoneSense"
"ANLI9553","وقد فوجئت بمدى ذلك. وأعتقد أننا الآن لدينا العديد من الأمثلة في جميع أنحاء البلاد التي يجب علينا حقًا أن نجد طرقًا لإنهاء هذا. تخيل ما هو شعور شخص ما يتم استهدافه بشكل غير عادل، وغير منصف، ويشعر بقوة القانون غير العادلة فقط بسبب العرق أو الإثنية.","كونك مستهدفًا إذا كان عادلًا","NoneSense"
"ANLI9979","لذا يجب علينا تطبيق قوانين حقوقنا المدنية. يجب أن نتعامل مع قضايا مثل التمييز العنصري. ويجب أن نحافظ على قوة جيشنا. لدينا أقوى جيش، وسأفعل كل ما هو ضروري، إذا كنت رئيسًا، لضمان بقاء الأمور على هذا النحو.","كان العميل جزءًا من الجيش","NoneSense"
"ANLI10192","كيفية زراعة البنفسج الأفريقي في الداخل<br>اشترِ نباتات البنفسج الأفريقي المجهزة بالجذور من مشتل أو دفيئة أو متجر تجزئة. نظرًا لأن العديد من عشاق النباتات المنزلية يزرعون البنفسج الأفريقي كجزء من مجموعتهم، فإنه عادة ما يكون من السهل العثور عليه. من الأفضل زراعة البنفسج من نبات مزروع مسبقًا، حيث يمكن أن تكون زراعة البنفسج الأفريقي من البذور صعبة للغاية.","يمكن لأي شخص أن يزرع البنفسج الأفريقي إذا كان لديه الإرادة.","NoneSense"
"ANLI10204","كيفية التوقف عن الشعور بالحرارة أثناء النوم<br>استخدم مكيف الهواء. أبسط طريقة للحفاظ على برودة غرفتك أثناء النوم هي استخدام مكيف الهواء إذا كان لديك واحد. سواء كان تكييف مركزي أو وحدة نافذة محمولة، كلاهما سيفي بالغرض.","اذهب إلى النوم فقط عندما يكون الجو بارداً","NoneSense"
"ANLI10304","قالت لجنة نوبل في بيان إن "السلام الدائم لا يمكن تحقيقه ما لم تجد مجموعات سكانية كبيرة طرقًا للخروج من الفقر."","سيتم تحقيق السلام الدائم","NoneSense"
"ANLI10925","كيفية الاستيقاظ في منتصف الليل<br>تدرب على الاستيقاظ في نفس الوقت لمدة شهر. تتحكم الأعصاب في دماغك في ساعة جسمك، المعروفة بإيقاع الساعة البيولوجية. يتم تأسيس هذا الإيقاع من خلال اتباع روتين متوقع، ولهذا السبب يمكنك الاستيقاظ في نفس الوقت في عطلة نهاية الأسبوع كما تفعل خلال الأسبوع إذا كانت جميع العوامل متساوية.","سوف يؤثر تغيير التوقيت الصيفي على ممارستك، خذ ذلك في الاعتبار.","NoneSense"
"ANLI11446","كيف تحدد ما إذا كنت تعاني من اضطراب فرط الحركة وتشتت الانتباه لدى البالغين<br>كن واعيًا لسهولة تشتت انتباهك. صعوبة التركيز، والشعور بالملل بسرعة، وقصر فترة الانتباه هي الجوانب التي يأتي منها مصطلح "نقص الانتباه" في اسم اضطراب فرط الحركة وتشتت الانتباه. يمكنك تحديد ما إذا كنت تعاني من اضطراب فرط الحركة وتشتت الانتباه لدى البالغين إذا لاحظت مدى تكرار تشتت انتباهك.","يمكن أن يعاني البالغون من اضطراب فرط الحركة وتشتت الانتباه.","NoneSense"
"ANLI13644","يوفر مشروع القانون C-3 استثناءً خطيرًا وغير ضروري يخول القضاة عدم إصدار أوامر لأخذ عينة إذا اعتقدوا أن القيام بذلك سيؤثر بشكل كبير على خصوصية الفرد وأمنه مقارنة بالمصلحة العامة في حماية المجتمع.","يوفر مشروع القانون C-3 استثناءً يخول القضاة أخذ عينات.","NoneSense"
"ANLI13860","كيفية الوقاية من سرطان الرئة<br>توقف عن تدخين منتجات التبغ. تحتوي دخان السجائر والتبغ على مواد ضارة تعرف باسم المواد المسرطنة التي يمكن أن تلحق الضرر بالخلايا المبطنة للرئتين. مع مرور الوقت، يمكن أن يؤدي التدخين إلى تطور وتكاثر خلايا غير طبيعية وزيادة خطر الإصابة بسرطان الرئة.","إذا توقفت عن تدخين منتجات التبغ، فلن تصاب بسرطان الرئة.","NoneSense"
"ANLI14011","قامت جنرال موتورز بتأسيس أسس للشك في التجسس الصناعي من خلال تقديم إفادات من موظفيها. الهدف سيكون تحديد ما إذا كان مشروع فولكس فاجن قد تم نسخه من بيانات جنرال موتورز - وهو أمر ضروري إذا كان من المقرر إثبات التجسس الصناعي.","كان الموظفون مترددين في تقديم الإفادات.","NoneSense"
"ANLI14103","تنسين غياتسو، الدالاي لاما الرابع عشر، تعهد بالتنحي عن منصبه إذا "خرجت الأمور عن السيطرة" في التبت، حيث أسفرت المظاهرات العنيفة ضد الصين عن مقتل ما بين 13 إلى 100 شخص. في مؤتمر صحفي في دارامسالا، الهند، قال الدالاي لاما إنه يعارض استخدام العنف ضد حكم الصين. "العنف هو تقريباً انتحار"، قال. "حتى لو ضحى 1000 تبتاني بحياتهم، فلن يساعد ذلك." ومع ذلك، يعترف بأن العديد من التبتيين المتطرفين انتقدوا سياسته القائمة على عدم العنف، ويقول إن الخيار الوحيد المتاح له هو "الاستقالة الكاملة" إذا استمر إراقة الدماء.","دالاي لاما هو قائد يحب السلام","NoneSense"
"ANLI14744","كيفية الذهاب إلى قصر غيونغبوكغونغ<br>خذ حافلة جونغنو رقم 11 إذا كنت تقضي اليوم في جونغنو. تقوم حافلة جونغنو رقم 11 بجولة سياحية مثالية عبر المنطقة التاريخية مع توقفات على الجانب الشرقي من أراضي القصر. انزل في محطة المتحف الشعبي الوطني وامشِ من هناك إلى المدخل الرئيسي.","جونغنو لديها أسطول من الحافلات","NoneSense"
"ANLI15070","لماذا لا ينطبق ذلك؟ إذا كانت الحجة المتعلقة بالعدالة بموجب بند الضرورة والملاءمة تبرر تمديد حقوق الطبع والنشر لأولئك الذين ستنتهي حقوق الطبع والنشر الخاصة بهم غدًا إذا لم يتم تمديدها، من أجل وضعهم في نفس مستوى أولئك الذين يحصلون على حقوق الطبع والنشر لأعمال جديدة، فلماذا لا ينطبق ذلك على حقوق الطبع والنشر، صاحب حقوق الطبع والنشر التي انتهت أمس؟","هذا الشخص يدرس قانون حقوق الطبع والنشر.","NoneSense"
"ANLI15489","إذا كنت تعاني من مرض القلب الروماتيزمي أو ارتفاع ضغط الدم أو السكري، أو تتناول أدوية الديجيتاليس، فإن فيتامين E قد يكون ضارًا.","لا تأخذ فيتامين E.","NoneSense"
"ANLI15683","لا بد أن لذلك معنى، وإذا كان يعني أننا محدودون في قدرتنا على الاتفاق مع الأوروبيين بينما يواصلون توسيع المصطلح في ضوء رؤيتهم الخاصة لما تدور حوله حقوق الطبع والنشر، فإن هذا هو معنى القيود الدستورية.","الأوروبيون يغيرون تفاصيل حقوق الطبع والنشر","NoneSense"
"ANLI16734","(CNN) - تم استدعاء نوع شائع من أغطية الهواتف بسبب خطر حدوث حروق كيميائية. تبيع شركة ميكسبين للإلكترونيات، التي تتخذ من الصين مقراً لها، أغطية آيفون على مستوى العالم، سواء عبر الإنترنت أو في المتاجر. يتم استدعاء ما يقرب من 275,000 من الأغطية اللامعة للعلامة التجارية. تحتوي الأغطية على سائل غير محدد. قالت الشركة المصنعة إن السائل يمكن أن يتسرب إذا تعرضت الأغطية للكسر أو الانكسار. حتى الآن، هناك 24 تقريرًا عن حروق كيميائية أو تهيج للجلد نتيجة السائل داخل الغلاف. يُحث العملاء على التوقف عن استخدام الأغطية على الفور وطلب استرداد من الشركة.","ميكس بن للإلكترونيات تصنع الإلكترونيات","NoneSense"
"ANLI17724","ثالثًا، واحدة من الأسباب التي تجعل تكاليف الطب لا تزال مرتفعة هي أنهم لا يستخدمون أي تكنولوجيا معلومات. إنه مثل إذا نظرت إلى - إنه يعادل أيام العربات والخيول، مقارنة بالصناعات الأخرى هنا في أمريكا.","لقد قطعت الطب شوطًا طويلًا منذ أن بدأ لأول مرة في الأمريكتين.","NoneSense"
"ANLI18530","أيضًا، كانت أمسياته مليئة بالعمل لدرجة أنه نادرًا ما انضم إلى الآخرين في وادي قوس قزح الآن. بدا أنه ينزلق بعيدًا إلى عالم الكبار. "ما الأمر معكم جميعًا الليلة؟" سأل. "ليس فيكم أي متعة." "ليس كثيرًا،" وافقت فيث بحزن. "لن تكون هناك متعة فيك أيضًا إذا كنت تعرف أنك تجلب العار لوالدك وتجعل الناس يتحدثون عنك." "من الذي يتحدث عنك الآن؟" "الجميع - كما تقول ماري فانس." وصبّت فيث همومها على جيم المتعاطف.","البيان يذكر أشخاصًا تبدأ أسماؤهم بحرف M و F.","NoneSense"
"ANLI19007","لكنني كنت أعتقد أنك تقول إنه إذا قبلت حجة بند حقوق الطبع والنشر، فإن لديك وسيلة، في الواقع، لتقليل قيمة ادعاء الحكومة بمصلحتها المهمة وهدفها المهم عندما تصل إلى تحليل التدقيق الوسيط في التعديل الأول.","تنص فقرة حقوق الطبع والنشر على وجود zz","NoneSense"
"ANLI19092","كيف تستيقظ في منتصف الليل<br>تدرب على الاستيقاظ في نفس الوقت لمدة شهر. تتحكم الأعصاب في دماغك في ساعة جسمك، المعروفة بالإيقاع اليومي. يتم تأسيس هذا الإيقاع من خلال اتباع روتين يمكن التنبؤ به، ولهذا السبب يمكنك الاستيقاظ في نفس الوقت في عطلة نهاية الأسبوع كما تفعل خلال الأسبوع إذا كانت جميع العوامل متساوية.","قلبك يتحكم في ساعة جسمك.","NoneSense"
"ANLI19250","في هذا القسم، يكون الوزراء والوزير المسؤول عن القانون الآخر المشار إليه في الفقرة (6)(أ) مسؤولين عن تحديد ما إذا كانت المتطلبات المشار إليها في تلك الفقرة مستوفاة من قبل ذلك القانون الآخر أو اللوائح الصادرة بموجب ذلك القانون، و(أ) إذا قرر الوزراء وذلك الوزير الآخر أن الـ","هناك فقرة أخرى","NoneSense"
"ANLI19859","كيفية الوقاية من سرطان الرئة<br>توقف عن تدخين منتجات التبغ. تحتوي دخان السجائر والتبغ على مواد ضارة تعرف بالمواد المسرطنة التي يمكن أن تضر بالخلايا التي تبطن رئتيك. مع مرور الوقت، يمكن أن يؤدي التدخين إلى تطوير وتكاثر الخلايا غير الطبيعية وزيادة خطر الإصابة بسرطان الرئة.","إذا كان التدخين يسبب خلايا غير طبيعية، فإن الخلايا غير الطبيعية هي السبب الوحيد للسرطان.","NoneSense"
"ANLI20592","تعلن كوريا الشمالية عن نيتها إعادة تشغيل المفاعلات، وتطرد مفتشي الوكالة الدولية للطاقة الذرية، وتزيل كاميرات التفتيش، وتعلن الانسحاب الفوري من معاهدة عدم انتشار الأسلحة النووية، وتوجه تهديدات بالحرب إذا فرضت الأمم المتحدة أو الولايات المتحدة عقوبات.","لقد قامت كوريا الشمالية بتركيب كاميرات تفتيش جديدة.","NoneSense"
"ANLI21078","كيفية الفوز في موقف قتال غير مسلح<br>أولاً وقبل كل شيء، من الضروري تقييم وضعك. الدخول في قتال دون معرفة سيسفر دائمًا عن نتائج سيئة. قم بتقييم سبب قيام خصمك بالقتال وما إذا كان بمفرده أو مخمورًا أو مسلحًا.","يمكنك الفوز إذا كان الخصم وحده.","NoneSense"
"ANLI22549","كيفية تسعير السيارات المستعملة<br>اعرف السوق. هل يمكن بيع سيارتك بسهولة؟ هل هي مطلوبة؟ هل ستضطر إلى خفض سعرها في حال عدم وجود طلب كبير؟ هل هو الوقت المناسب لبيع سيارتك؟ اجمع معلومات عن سيارتك. الخطوة التالية هي معرفة سيارتك جيدًا.","بيع سيارة يشبه بيع الماء في الصحراء","NoneSense"
"ANLI23159","أوه، نعم. لم تكن هناك العديد من الاجتماعات التي لم يتحدث فيها بيل باكينغهام. وفي الواقع، في ذلك الاجتماع - أعتقد أن بداية الاجتماع كانت اعتذارًا، في الحقيقة، كان قد أعده مسبقًا يعتذر فيه لأعضاء المجتمع إذا كان قد قال أي شيء أزعجهم.","كان باكنغهام يتحدث عادة في الاجتماعات.","NoneSense"
"ANLI23892","كيفية تنظيف بلاط السيراميك<br>قم بالكنس أو استخدام المكنسة الكهربائية مرتين في الأسبوع. من المثالي استخدام ممسحة جافة أو مكنسة كهربائية، على الرغم من أنه يمكنك الكنس باستخدام مكنسة إذا كنت في عجلة من أمرك. اختر ممسحة غبار ناعمة ورقيقة، ويفضل أن تكون ذات طرف قابل للإزالة ويمكن غسله في الغسالة.","المسح ضروري لهذا النوع من البلاط","NoneSense"
"ANLI23917","كيفية العثور على سجلات التطعيم<br>اتصل بمقدم الرعاية الصحية الخاص بك. إذا كان لديك اسم ومعلومات الاتصال للطبيب أو العيادة التي قامت بتطعيمك، فعادةً ما يكون لديهم تلك السجلات محفوظة. في معظم الحالات، هذه هي أسرع طريقة للحصول على سجل التطعيم الخاص بك.","سيقوم الأطباء بتتبع تاريخ تطعيم المريض.","NoneSense"
"ANLI24337","لا. هذا سؤال غير محدد للغاية. القضية هنا، سأعيد صياغتها، هي مصداقية المقالات نفسها، هل سمع الصحفي البيان كما تم الإبلاغ عنه. إذا تم إخراجه من سياقه، فلن نتعمق في ذلك في هذا الفحص. الفرد الذي يعتقد - الذي تم اقتباسه ويعتقد أن البيان تم إخراجه من سياقه أو ببساطة أنه لم يقله أو أنها لم تقله وأنه غير دقيق سيكون لديه الفرصة ليقول ذلك خلال قضية الدفاع الرئيسية أو في أي وقت آخر خلال المحاكمة.","السؤال صعب الإجابة عليه","NoneSense"
"ANLI24459","أوافق، وهذه المحكمة لديها - فقط للحديث عن حكم الكونغرس، الكونغرس الخامس والتسعين في عام 1998. هذه هي الطريقة التي يجادل بها البعض بأن قانون حقوق الطبع والنشر الأصلي لعام 1790 كان يقول للناس بشكل ضمني، أنك ستحصل على حقوق الطبع والنشر إذا تبادلت أي حقوق قائمة لديك. هذا ببساطة لا معنى له. لا توجد لغة تدعم ذلك، وهي حجة اكتشفت في وقت متأخر نسبيًا، لأنها ترى كامل -","توجد قوانين حقوق الطبع والنشر منذ أكثر من 200 عام.","NoneSense"
"ANLI24763",""هذه الرسالة تتعلق بالتعليقات التي أدلت بها بيث إيفلاند من بلدة يورك في صحيفة يورك صنداي نيوز لشهر يونيو. أؤكد لكم أن مجلس مدرسة منطقة دوفر لا يتعارض مع بيان مهمته. في الواقع، إذا قرأتم البيان، فإنه ينص على تعليم طلابنا ليكونوا أعضاءً مساهمين في المجتمع."","هذه الرسالة المهمة تتعلق بالتعليقات التي أدلت بها بيث إيفلاند.","NoneSense"
"ANLI24839","كيفية صنع جبنة الحلوم<br>قم بتسخين الحليب إلى 34 درجة مئوية / 93.2 درجة فهرنهايت. أضف المنفحة، مع التحريك جيدًا. غطِ الحليب بورق بلاستيكي، أو غطاء الوعاء إذا كان متوفرًا. ضع الحليب في مكان دافئ، ملفوفًا في مناشف للحفاظ على حرارته.","جبن الحلوم من الأفضل تناوله في الخارج","NoneSense"
