ID,Annotation
MNLI17951,Entailment
MNLI18234,Entailment
MNLI18542,Entailment
MNLI19012,Contradiction
MNLI19172,Contradiction
MNLI20088,Entailment
MNLI20195,Entailment
MNLI21025,Entailment
MNLI21100,Neutral
MNLI21684,Contradiction
MNLI22071,Entailment
MNLI22090,Entailment
MNLI22925,Neutral
MNLI23391,Contradiction
MNLI23513,Contradiction
MNLI24030,Contradiction
WANLI77,Contradiction
WANLI279,Entailment
WANLI447,Contradiction
WANLI481,Entailment
WANLI717,Entailment
WANLI1219,Entailment
WANLI1569,Contradiction
WANLI1685,Entailment
WANLI1706,Contradiction
WANLI1867,Entailment
WANLI1953,Neutral
WANLI2063,Entailment
WANLI2102,Entailment
WANLI2211,Entailment
WANLI2339,Entailment
WANLI2621,Entailment
WANLI2681,Contradiction
WANLI2803,Entailment
WANLI3018,Entailment
WANLI3075,Neutral
WANLI3081,Entailment
WANLI3095,Contradiction
WANLI3247,Entailment
WANLI3677,Entailment
WANLI3686,Entailment
WANLI3784,Entailment
WANLI3843,Entailment
WANLI4066,Entailment
WANLI4118,Entailment
WANLI4126,Entailment
WANLI4310,Entailment
WANLI4345,Contradiction
WANLI4380,Entailment
WANLI4453,Entailment
WANLI4514,Contradiction
WANLI4784,Entailment
WANLI5080,Entailment
WANLI5139,Entailment
WANLI5577,Entailment
WANLI5860,Neutral
WANLI5918,Entailment
WANLI5969,Entailment
WANLI6188,Entailment
WANLI6444,Entailment
WANLI6676,Contradiction
WANLI7035,Entailment
WANLI7296,Entailment
WANLI7343,Entailment
WANLI7352,Entailment
WANLI7440,Contradiction
WANLI7851,Contradiction
WANLI7858,Entailment
WANLI8012,Contradiction
WANLI8133,Entailment
WANLI8318,Entailment
WANLI8354,Entailment
WANLI8580,Entailment
WANLI8708,Contradiction
WANLI8721,Neutral
WANLI8752,Entailment
WANLI9037,Entailment
WANLI9106,Entailment
WANLI9234,Entailment
WANLI9295,Contradiction
WANLI9469,Contradiction
WANLI9497,Entailment
WANLI9868,Entailment
WANLI9883,Entailment
WANLI10014,Entailment
WANLI10050,Entailment
WANLI10092,Contradiction
WANLI10266,Entailment
WANLI10456,Entailment
WANLI10586,Entailment
WANLI11353,Entailment
WANLI11481,Entailment
WANLI11808,Entailment
WANLI11872,Entailment
WANLI11903,Entailment
WANLI12350,Contradiction
WANLI12450,Neutral
WANLI12850,Contradiction
WANLI12896,Entailment
WANLI13101,Entailment
WANLI13125,Contradiction
WANLI13250,Contradiction
WANLI13288,Entailment
WANLI13609,Entailment
WANLI13877,Entailment
WANLI13969,Neutral
WANLI14527,Entailment
WANLI15211,Entailment
WANLI15279,Contradiction
WANLI15380,Entailment
WANLI15478,Contradiction
WANLI15616,Contradiction
WANLI15748,Entailment
WANLI15932,Entailment
WANLI16150,Neutral
WANLI16409,Entailment
WANLI16463,Neutral
WANLI16523,Entailment
WANLI16564,Entailment
WANLI16712,Neutral
WANLI16928,Contradiction
WANLI17199,Entailment
WANLI17289,Neutral
WANLI17458,Entailment
WANLI17463,Entailment
WANLI17582,Contradiction
WANLI17635,Entailment
ANLI1632,Neutral
ANLI1959,Entailment
ANLI1994,Entailment
ANLI2325,Neutral
ANLI2937,Neutral
ANLI3433,Entailment
ANLI3994,Neutral
ANLI4271,Neutral
ANLI4670,Neutral
ANLI4818,Contradiction
ANLI4956,Neutral
ANLI4958,Neutral
ANLI5001,Contradiction
ANLI5283,Contradiction
ANLI5966,Entailment
ANLI6959,Neutral
ANLI8003,Contradiction
ANLI8160,Neutral
ANLI9718,Neutral
ANLI9871,Entailment
ANLI9992,Contradiction
ANLI10231,Entailment
ANLI10234,Entailment
ANLI10962,Entailment
ANLI11158,Contradiction
ANLI11445,Entailment
ANLI11589,Contradiction
ANLI11962,Contradiction
ANLI12124,Neutral
ANLI12225,Neutral
ANLI12487,Contradiction
ANLI12712,Entailment
ANLI12951,Contradiction
ANLI13160,Contradiction
ANLI13506,Entailment
ANLI13911,Neutral
ANLI13946,Entailment
ANLI14119,Neutral
ANLI14187,Entailment
ANLI14417,Entailment
ANLI14460,Neutral
ANLI14880,Contradiction
ANLI14973,Contradiction
ANLI14976,Entailment
ANLI15800,Entailment
ANLI15909,Contradiction
ANLI15954,Entailment
ANLI16120,Entailment
ANLI16146,Neutral
ANLI16304,Neutral
ANLI16366,Entailment
ANLI16394,Entailment
ANLI16407,Neutral
ANLI16434,Contradiction
ANLI16795,Neutral
ANLI17013,Neutral
ANLI17157,Neutral
ANLI18104,Entailment
ANLI18288,Neutral
ANLI18448,Neutral
ANLI18589,Entailment
ANLI18749,Neutral
ANLI19280,Entailment
ANLI19557,Entailment
ANLI19882,Contradiction
ANLI20103,Entailment
ANLI20207,Neutral
ANLI20349,Contradiction
ANLI20368,Contradiction
ANLI20503,Entailment
ANLI20668,Entailment
ANLI20887,Entailment
ANLI20907,Contradiction
ANLI21197,Neutral
ANLI21682,Neutral
ANLI21856,Neutral
ANLI22364,Neutral
ANLI23465,Contradiction
ANLI23475,Entailment
ANLI23648,Neutral
ANLI23712,Contradiction
ANLI23742,Entailment
ANLI23772,Contradiction
ANLI23936,Contradiction
ANLI24296,Neutral
ANLI24446,Neutral
ANLI24501,Neutral
ANLI24828,Neutral
Fever1105,Neutral
Fever2044,Entailment
Fever2351,Contradiction
Fever2918,Contradiction
Fever3754,Neutral
Fever4037,Contradiction
Fever6042,Neutral
Fever6407,Entailment
Fever7431,Neutral
Fever9171,Entailment
Fever10080,Neutral
Fever10624,Entailment
Fever14261,Neutral
Fever14645,Neutral
Fever14647,Contradiction
Fever17057,Contradiction
Fever18672,Contradiction
Fever20657,Entailment
Fever21960,Contradiction
Fever22791,Contradiction
Fever23206,Neutral
Fever24340,Neutral
LING418,Entailment
LING454,Entailment
LING599,Contradiction
LING719,Entailment
LING971,Contradiction
LING1120,Neutral
LING1151,Entailment
LING1157,Contradiction
LING1660,Entailment
LING1670,Neutral
LING1720,Neutral
LING1776,Contradiction
LING1850,Contradiction
LING1977,Entailment
LING1999,Entailment
LING2021,Contradiction
LING2037,Entailment
LING2078,Entailment
LING2441,Contradiction
LING2567,Neutral
LING2576,Neutral
LING2599,Contradiction
LING2614,Neutral
LING2657,Entailment
LING2685,Entailment
LING2697,Contradiction
LING2730,Neutral
LING3129,Neutral
LING3170,Neutral
LING3260,Entailment
LING3347,Neutral
LING3374,Entailment
LING3570,Neutral
LING3614,Neutral
LING3782,Contradiction
LING3900,Entailment
LING3934,Contradiction
LING3940,Neutral
LING4482,Contradiction
LING4484,Neutral
LING4619,Contradiction
LING4882,Contradiction
LING4957,Entailment
MNLI568,Contradiction
MNLI1120,Entailment
MNLI1991,Neutral
MNLI2126,Entailment
MNLI2128,Contradiction
MNLI2301,Neutral
MNLI2441,Neutral
MNLI2496,Entailment
MNLI2727,Neutral
MNLI2869,Entailment
MNLI3259,Neutral
MNLI3308,Entailment
MNLI3817,Contradiction
MNLI3855,Neutral
MNLI4459,Neutral
MNLI4585,Neutral
MNLI5328,Entailment
MNLI5872,Entailment
MNLI5922,Contradiction
MNLI6193,Entailment
MNLI6294,Neutral
MNLI6510,Entailment
MNLI6873,Contradiction
MNLI7089,Neutral
MNLI7195,Neutral
MNLI7312,Entailment
MNLI8139,Entailment
MNLI8218,Entailment
MNLI8429,Entailment
MNLI8440,Contradiction
MNLI8696,Neutral
MNLI9209,Contradiction
MNLI9305,Entailment
MNLI9588,Entailment
MNLI9797,Entailment
MNLI9866,Contradiction
MNLI10502,Entailment
MNLI10515,Entailment
MNLI10721,Entailment
MNLI11057,Entailment
MNLI11930,Entailment
MNLI12088,Entailment
MNLI12256,Entailment
MNLI12744,Contradiction
MNLI12940,Entailment
MNLI13529,Neutral
MNLI13808,Neutral
MNLI13849,Neutral
MNLI13916,Entailment
MNLI14435,Entailment
MNLI14495,Neutral
MNLI15156,Contradiction
MNLI15193,Contradiction
MNLI15784,Entailment
MNLI15791,Neutral
MNLI15797,Neutral
MNLI15999,Neutral
MNLI16853,Contradiction
MNLI17222,Entailment
MNLI17544,Neutral
MNLI17682,Contradiction
MNLI18002,Neutral
MNLI18086,Neutral
MNLI18141,Entailment
MNLI18432,Entailment
MNLI18694,Entailment
MNLI18808,Contradiction
MNLI19693,Entailment
MNLI20918,Neutral
MNLI21155,Neutral
MNLI21338,Neutral
MNLI21775,Contradiction
MNLI22114,Neutral
MNLI22212,Contradiction
MNLI22749,Neutral
MNLI23008,Entailment
MNLI23143,Entailment
MNLI23190,Neutral
MNLI24108,Neutral
MNLI24233,Entailment
MNLI24368,Neutral
MNLI24494,Contradiction
MNLI24713,Neutral
WANLI7,Entailment
WANLI157,Contradiction
WANLI261,Entailment
WANLI545,Entailment
WANLI706,Contradiction
WANLI712,Contradiction
WANLI804,Entailment
WANLI860,Entailment
WANLI1097,Neutral
WANLI1227,Entailment
WANLI1900,Entailment
WANLI2327,Entailment
WANLI2588,Entailment
WANLI2765,Entailment
WANLI2927,Entailment
WANLI2990,Entailment
WANLI2998,Entailment
WANLI3010,Entailment
WANLI3038,Contradiction
WANLI3134,Neutral
WANLI3204,Contradiction
WANLI3434,Entailment
WANLI3548,Entailment
WANLI3656,Contradiction
WANLI4251,Entailment
WANLI4303,Entailment
WANLI5017,Entailment
WANLI5073,Entailment
WANLI5118,Contradiction
WANLI5325,Entailment
WANLI5429,Entailment
WANLI5490,Contradiction
WANLI5649,Entailment
WANLI6056,Entailment
WANLI6772,Entailment
WANLI6900,Entailment
WANLI6954,Entailment
WANLI7052,Entailment
WANLI7096,Entailment
WANLI7142,Entailment
WANLI7218,Entailment
WANLI7287,Contradiction
WANLI7339,Contradiction
WANLI7506,Entailment
WANLI7522,Entailment
WANLI7874,Entailment
WANLI7900,Entailment
WANLI7977,Contradiction
WANLI8398,Entailment
WANLI8459,Contradiction
WANLI8552,Entailment
WANLI8575,Contradiction
WANLI8682,Entailment
WANLI9011,Contradiction
WANLI9202,Entailment
WANLI9324,Entailment
WANLI9500,Entailment
WANLI9611,Entailment
WANLI9669,Contradiction
WANLI9725,Entailment
WANLI9789,Contradiction
WANLI10448,Entailment
WANLI10809,Entailment
WANLI10981,Contradiction
ANLI1679,Neutral
ANLI2185,Neutral
ANLI2298,Neutral
ANLI3860,Entailment
ANLI4458,Entailment
ANLI4872,Neutral
ANLI5079,Neutral
ANLI5286,Neutral
ANLI5287,Contradiction
ANLI5473,Contradiction
ANLI6550,Entailment
ANLI6657,Entailment
ANLI7247,Entailment
ANLI8058,Contradiction
ANLI8683,Contradiction
ANLI9726,Contradiction
ANLI9795,Contradiction
ANLI9981,Neutral
ANLI10142,Entailment
ANLI10498,Neutral
ANLI10816,Neutral
ANLI10871,Neutral
ANLI10878,Entailment
ANLI11022,Neutral
ANLI11075,Entailment
ANLI11261,Entailment
ANLI11379,Entailment
ANLI11660,Neutral
ANLI11748,Neutral
ANLI12424,Neutral
ANLI12898,Contradiction
ANLI13120,Entailment
ANLI13150,Contradiction
ANLI13391,Entailment
ANLI13406,Entailment
ANLI13940,Contradiction
ANLI14141,Contradiction
ANLI14286,Neutral
ANLI14347,Entailment
ANLI14410,Entailment
ANLI14664,Entailment
ANLI14851,Entailment
ANLI14904,Entailment
ANLI14911,Neutral
ANLI15034,Entailment
ANLI15634,Contradiction
ANLI15692,Neutral
ANLI16945,Contradiction
ANLI17319,Entailment
ANLI17592,Neutral
ANLI18332,Neutral
ANLI18351,Neutral
ANLI18625,Contradiction
ANLI18747,Contradiction
ANLI19082,Neutral
ANLI19140,Entailment
ANLI20171,Entailment
ANLI20178,Contradiction
ANLI20638,Neutral
ANLI20825,Contradiction
ANLI21250,Neutral
ANLI21561,Entailment
ANLI21621,Entailment
ANLI21679,Contradiction
ANLI21757,Contradiction
ANLI22076,Neutral
ANLI22085,Entailment
ANLI22146,Entailment
ANLI22311,Entailment
ANLI22404,Entailment
ANLI22429,Entailment
ANLI22546,Entailment
ANLI22605,Contradiction
ANLI22738,Entailment
ANLI22965,Contradiction
ANLI23048,Neutral
ANLI23099,Entailment
ANLI23220,Entailment
ANLI23225,Entailment
ANLI23529,Neutral
ANLI23755,Neutral
ANLI23781,Neutral
ANLI24006,Neutral
ANLI24162,Neutral
ANLI24339,Neutral
ANLI24553,Entailment
ANLI24625,Entailment
ANLI24728,Neutral
Fever344,Contradiction
Fever563,Contradiction
Fever793,Contradiction
Fever1275,Neutral
Fever1464,Contradiction
Fever1539,Contradiction
Fever1684,Contradiction
Fever1741,Neutral
Fever1882,Entailment
Fever2038,Entailment
Fever2178,Neutral
Fever2232,Contradiction
Fever2426,Contradiction
Fever2436,Entailment
Fever2454,Neutral
Fever2785,Neutral
Fever3174,Entailment
Fever3283,Neutral
Fever4107,Contradiction
Fever4495,Contradiction
Fever4855,Contradiction
Fever5710,Neutral
Fever5837,Neutral
Fever6478,Contradiction
Fever6689,Contradiction
Fever6702,Neutral
Fever7117,Contradiction
Fever7192,Entailment
Fever7292,Neutral
Fever7445,Contradiction
Fever8023,Contradiction
Fever8380,Entailment
Fever8654,Contradiction
Fever8675,Entailment
Fever8769,Entailment
Fever9204,Entailment
Fever9682,Contradiction
Fever9904,Contradiction
Fever10351,Contradiction
Fever10363,Neutral
Fever11235,Neutral
Fever11297,Neutral
Fever11422,Contradiction
Fever11441,Contradiction
Fever11499,Entailment
Fever11664,Neutral
Fever11737,Contradiction
Fever11815,Neutral
Fever12381,Contradiction
Fever12639,Contradiction
Fever13193,Contradiction
Fever13274,Entailment
Fever13338,Neutral
Fever13431,Entailment
Fever13481,Neutral
Fever13626,Contradiction
Fever13730,Contradiction
Fever13773,Contradiction
Fever13912,Contradiction
Fever14142,Entailment
Fever14294,Contradiction
Fever15061,Contradiction
Fever15372,Contradiction
Fever15539,Entailment
Fever15554,Entailment
Fever15582,Neutral
Fever15602,Entailment
Fever15889,Neutral
Fever16109,Entailment
Fever16396,Contradiction
Fever16416,Contradiction
Fever16465,Contradiction
Fever16559,Contradiction
Fever16740,Contradiction
Fever16849,Neutral
Fever16916,Entailment
Fever17495,Contradiction
Fever18131,Contradiction
Fever18453,Entailment
Fever18571,Entailment
Fever18637,Contradiction
Fever18837,Neutral
Fever19018,Contradiction
Fever19182,Neutral
Fever19411,Neutral
Fever19420,Contradiction
Fever19827,Contradiction
Fever19865,Neutral
Fever20541,Entailment
Fever20583,Contradiction
Fever20618,Entailment
Fever20860,Entailment
Fever21078,Contradiction
Fever21494,Neutral
Fever21519,Entailment
Fever21545,Contradiction
Fever22442,Neutral
Fever22703,Neutral
Fever22916,Entailment
Fever22993,Entailment
Fever23222,Contradiction
Fever24325,Neutral
LING5,Neutral
LING185,Contradiction
LING320,Entailment
LING379,Neutral
LING389,Contradiction
LING399,Entailment
LING406,Entailment
LING564,Contradiction
LING574,Contradiction
LING640,Neutral
LING768,Contradiction
LING955,Neutral
LING1011,Entailment
LING1017,Neutral
LING1031,Entailment
LING1045,Entailment
LING1069,Entailment
LING1147,Entailment
LING1187,Neutral
LING1191,Neutral
LING1194,Entailment
LING1384,Entailment
LING1402,Neutral
LING1522,Neutral
LING1529,Contradiction
LING1651,Neutral
LING1830,Contradiction
LING2125,Contradiction
LING2223,Neutral
LING2407,Neutral
LING2438,Entailment
LING2586,Entailment
LING2644,Neutral
LING2692,Neutral
LING2744,Neutral
LING2748,Neutral
LING2824,Entailment
LING2859,Neutral
LING2913,Entailment
LING3029,Contradiction
LING3043,Neutral
LING3150,Neutral
LING3157,Neutral
LING3330,Neutral
LING3364,Neutral
LING3524,Entailment
LING3588,Entailment
LING3751,Neutral
LING3772,Neutral
LING3818,Entailment
LING3904,Neutral
LING4127,Neutral
LING4236,Entailment
LING4423,Entailment
LING4550,Entailment
LING4579,Neutral
LING4607,Entailment
LING4726,Neutral
LING4750,Entailment
LING4847,Neutral
LING4905,Contradiction
LING4919,Contradiction
MNLI210,Neutral
MNLI843,Entailment
MNLI1106,Entailment
MNLI1246,Entailment
MNLI1797,Neutral
MNLI1931,Entailment
MNLI2041,Entailment
MNLI2189,Entailment
MNLI2222,Contradiction
MNLI2337,Entailment
MNLI2361,Contradiction
MNLI2668,Neutral
MNLI2745,Neutral
MNLI2746,Entailment
MNLI3403,Entailment
MNLI3423,Neutral
MNLI3449,Neutral
MNLI3648,Contradiction
MNLI3661,Entailment
MNLI3667,Neutral
MNLI3903,Entailment
MNLI3932,Neutral
MNLI3961,Neutral
MNLI4214,Entailment
MNLI4537,Entailment
MNLI4544,Contradiction
MNLI4699,Neutral
MNLI4816,Entailment
MNLI5046,Neutral
MNLI6248,Contradiction
MNLI6263,Contradiction
MNLI6658,Entailment
MNLI7245,Neutral
MNLI7613,Neutral
MNLI7623,Contradiction
MNLI7628,Entailment
MNLI7646,Entailment
MNLI7997,Contradiction
MNLI8115,Entailment
MNLI8168,Entailment
MNLI8241,Entailment
MNLI8593,Neutral
MNLI8691,Neutral
MNLI9092,Entailment
MNLI9291,Entailment
MNLI9535,Neutral
MNLI9859,Neutral
MNLI9929,Entailment
ANLI1642,Contradiction
ANLI3719,Neutral
ANLI3802,Neutral
ANLI3999,Neutral
ANLI4002,Neutral
ANLI4510,Neutral
ANLI4532,Neutral
ANLI6117,Entailment
ANLI6266,Contradiction
ANLI6349,Neutral
ANLI6514,Contradiction
ANLI6854,Entailment
ANLI6893,Contradiction
ANLI7401,Neutral
ANLI8383,Contradiction
ANLI9968,Entailment
ANLI10295,Contradiction
ANLI10300,Neutral
ANLI11169,Neutral
ANLI11627,Entailment
ANLI11757,Neutral
ANLI12406,Contradiction
ANLI12826,Neutral
ANLI12887,Entailment
ANLI14209,Neutral
ANLI14273,Neutral
ANLI14585,Contradiction
ANLI14694,Neutral
ANLI14971,Neutral
ANLI15040,Neutral
ANLI15517,Contradiction
ANLI15727,Neutral
ANLI15841,Contradiction
ANLI16145,Neutral
ANLI16266,Entailment
ANLI17306,Entailment
ANLI17428,Entailment
ANLI18002,Entailment
ANLI18106,Contradiction
ANLI18806,Contradiction
ANLI19088,Entailment
ANLI19107,Neutral
ANLI19427,Contradiction
ANLI19738,Neutral
ANLI20096,Entailment
ANLI20241,Entailment
ANLI20621,Neutral
ANLI21081,Neutral
ANLI21635,Neutral
ANLI21903,Contradiction
ANLI21952,Neutral
ANLI22002,Entailment
ANLI22101,Neutral
ANLI22465,Contradiction
ANLI23634,Contradiction
ANLI24247,Neutral
ANLI24357,Entailment
ANLI24543,Entailment
Fever382,Contradiction
Fever424,Neutral
Fever971,Contradiction
Fever1038,Neutral
Fever1661,Neutral
Fever2921,Neutral
Fever4617,Entailment
Fever5113,Neutral
Fever5200,Neutral
Fever5404,Contradiction
Fever5889,Contradiction
Fever6190,Contradiction
Fever7059,Neutral
Fever7127,Neutral
Fever7133,Neutral
Fever7367,Neutral
Fever7552,Neutral
Fever7967,Neutral
Fever8819,Neutral
Fever10026,Neutral
Fever11042,Neutral
Fever11110,Contradiction
Fever11178,Neutral
Fever11940,Entailment
Fever12400,Entailment
Fever12937,Neutral
Fever13117,Neutral
Fever13376,Entailment
Fever13445,Contradiction
Fever13735,Neutral
Fever14079,Neutral
Fever15036,Neutral
Fever15249,Neutral
Fever15908,Contradiction
Fever16754,Neutral
Fever17371,Contradiction
Fever17976,Contradiction
Fever19912,Neutral
Fever21257,Neutral
Fever21405,Entailment
Fever21652,Neutral
Fever21943,Entailment
